id,ticker,date,open,high,low,close,volume
33845,AAPL,02/01/2014,17.27208893,17.31405042,17.15832578,17.19282722,234684800
33846,AAPL,03/01/2014,17.18443403,17.21054251,16.79807395,16.81517029,392467600
33847,AAPL,06/01/2014,16.70544614,16.99606901,16.58577673,16.90686226,412610800
33848,AAPL,07/01/2014,16.91898761,16.9699629,16.72005815,16.78595352,317209200
33849,AAPL,08/01/2014,16.74772145,16.95753057,16.74399309,16.89225769,258529600
33850,AAPL,09/01/2014,16.99606856,16.9979344,16.64017119,16.67653847,279148800
33851,AAPL,10/01/2014,16.77941791,16.80956848,16.50837648,16.56525803,304976000
33852,AAPL,13/01/2014,16.47107766,16.8624093,16.47014474,16.65197945,378492800
33853,AAPL,14/01/2014,16.72937727,16.99389161,16.71197051,16.98332405,332561600
33854,AAPL,15/01/2014,17.20494535,17.41257815,17.14713087,17.32430267,391638800
33855,AAPL,16/01/2014,17.24783829,17.30844986,17.14775026,17.22763443,229278000
33856,AAPL,17/01/2014,17.14153806,17.15987608,16.78159857,16.80553246,426739600
33857,AAPL,21/01/2014,16.81548344,17.09771507,16.79776626,17.06663322,328526800
33858,AAPL,22/01/2014,17.12382121,17.32212815,17.02746484,17.14247131,379985200
33859,AAPL,23/01/2014,17.09366642,17.29756917,16.93421183,17.28762245,403239200
33860,AAPL,24/01/2014,17.21987585,17.27023032,16.93236033,16.97339058,429354800
33861,AAPL,27/01/2014,17.0977136,17.24473485,16.96343617,17.11107826,554878800
33862,AAPL,28/01/2014,15.81367922,16.00763527,15.60573434,15.743433,1065523200
33863,AAPL,29/01/2014,15.66417331,15.7704764,15.49850197,15.56470776,502810000
33864,AAPL,30/01/2014,15.62034519,15.7434342,15.43882252,15.53455639,678501600
33865,AAPL,31/01/2014,15.39157963,15.58895535,15.34091475,15.5600481,464797200
33866,AAPL,03/02/2014,15.62252416,15.7816684,15.51964066,15.58895397,401464000
33867,AAPL,04/02/2014,15.72322274,15.83543207,15.62717683,15.81460571,376681200
33868,AAPL,05/02/2014,15.7452998,16.01634132,15.7356635,15.93272877,328344800
33869,AAPL,06/02/2014,15.94899018,16.05655581,15.87863407,16.02559853,257765200
33870,AAPL,07/02/2014,16.30295143,16.351418,16.17787652,16.24979401,370280400
33871,AAPL,10/02/2014,16.21789943,16.63471392,16.19726235,16.54090691,345559200
33872,AAPL,11/02/2014,16.59156088,16.81481968,16.55685126,16.7588501,282256800
